wave,tput
0.81,0.6209
0.839275,0.6226
0.86785,0.6589
0.896425,0.66
0.93,0.7289
0.96,0.7296
0.995,0.7312
1.02,0.7294
1.045,0.7282
1.1,0.7296
1.15,0.7335
1.207,0.7342
1.248,0.7337
1.289,0.7337
1.34,0.7314
1.47,0.7305
1.559,0.7336
1.633,0.7345
1.71,0.7362
1.79,0.7354
1.99,0.7284
2.1,0.7598
2.2,0.7614
2.3,0.7621
2.41,0.762
