2.979094639999999927e+01 2.978842450000000142e+01 2.978591649999999902e+01 2.978342239999999919e+01 2.978094210000000075e+01 2.977847549999999899e+01 2.977602249999999984e+01 2.977358299999999858e+01 2.977115709999999993e+01 2.976874460000000155e+01 2.976634539999999873e+01 2.976395949999999857e+01 2.976158679999999990e+01 2.975922729999999916e+01 2.975688080000000113e+01 2.975454729999999870e+01 2.975222670000000136e+01 2.974991909999999962e+01 2.974762420000000063e+01 2.974534200000000084e+01 2.974307260000000142e+01 2.974081569999999886e+01 2.973857140000000143e+01 2.973633949999999970e+01 2.973412009999999839e+01 2.973191309999999987e+01 2.972971829999999827e+01 2.972753579999999829e+01 2.972536540000000116e+01 2.972320720000000094e+01 2.972106110000000001e+01 2.971892689999999959e+01 2.971680470000000085e+01 2.971469439999999906e+01 2.971259600000000134e+01 2.971050929999999823e+01 2.970843430000000041e+01 2.970637109999999836e+01 2.970431939999999926e+01 2.970227939999999833e+01 2.970025090000000034e+01 2.969823380000000057e+01 2.969622820000000019e+01 2.969423390000000040e+01 2.969225099999999884e+01 2.969027940000000143e+01 2.968831899999999990e+01 2.968636980000000136e+01 2.968443179999999870e+01 2.968250480000000024e+01
2.886614540000000062e+01 2.886236149999999867e+01 2.885859609999999975e+01 2.885484920000000031e+01 2.885112080000000034e+01 2.884741079999999869e+01 2.884371919999999889e+01 2.884004600000000096e+01 2.883639110000000016e+01 2.883275450000000006e+01 2.882913609999999949e+01 2.882553599999999960e+01 2.882195400000000163e+01 2.881839019999999962e+01 2.881484449999999953e+01 2.881131680000000017e+01 2.880780719999999917e+01 2.880431550000000129e+01 2.880084180000000060e+01 2.879738589999999832e+01 2.879394789999999915e+01 2.879052769999999839e+01 2.878712519999999842e+01 2.878374050000000040e+01 2.878037339999999844e+01 2.877702389999999966e+01 2.877369189999999932e+01 2.877037740000000099e+01 2.876708040000000111e+01 2.876380079999999850e+01 2.876053840000000150e+01 2.875729339999999823e+01 2.875406560000000056e+01 2.875085500000000138e+01 2.874766139999999837e+01 2.874448489999999978e+01 2.874132540000000091e+01 2.873818269999999941e+01 2.873505700000000118e+01 2.873194799999999915e+01 2.872885570000000044e+01 2.872578010000000148e+01 2.872272110000000112e+01 2.871967869999999934e+01 2.871665259999999975e+01 2.871364300000000114e+01 2.871064970000000116e+01 2.870767259999999865e+01 2.870471179999999833e+01 2.870176700000000025e+01
2.708490829999999860e+01 2.708262609999999881e+01 2.708035639999999944e+01 2.707809909999999931e+01 2.707585419999999843e+01 2.707362159999999918e+01 2.707140120000000039e+01 2.706919299999999851e+01 2.706699689999999947e+01 2.706481279999999856e+01 2.706264069999999933e+01 2.706048050000000060e+01 2.705833219999999883e+01 2.705619569999999996e+01 2.705407080000000164e+01 2.705195769999999911e+01 2.704985609999999951e+01 2.704776610000000048e+01 2.704568749999999966e+01 2.704362039999999823e+01 2.704156460000000095e+01 2.703952019999999834e+01 2.703748699999999872e+01 2.703546499999999853e+01 2.703345420000000132e+01 2.703145440000000121e+01 2.702946569999999937e+01 2.702748790000000056e+01 2.702552109999999885e+01 2.702356520000000017e+01 2.702161999999999864e+01 2.701968570000000014e+01 2.701776209999999878e+01 2.701584920000000167e+01 2.701394690000000054e+01 2.701205519999999893e+01 2.701017399999999924e+01 2.700830330000000146e+01 2.700644309999999848e+01 2.700459329999999980e+01 2.700275380000000069e+01 2.700092469999999878e+01 2.699910579999999882e+01 2.699729710000000082e+01 2.699549869999999885e+01 2.699371040000000121e+01 2.699193220000000082e+01 2.699016400000000004e+01 2.698840600000000123e+01 2.698665790000000086e+01
2.611744050000000072e+01 2.611402950000000089e+01 2.611063529999999844e+01 2.610725790000000046e+01 2.610389740000000103e+01 2.610055360000000135e+01 2.609722659999999905e+01 2.609391630000000006e+01 2.609062270000000083e+01 2.608734580000000136e+01 2.608408539999999931e+01 2.608084170000000057e+01 2.607761440000000164e+01 2.607440370000000129e+01 2.607120940000000076e+01 2.606803160000000119e+01 2.606487010000000026e+01 2.606172490000000153e+01 2.605859609999999904e+01 2.605548350000000113e+01 2.605238710000000069e+01 2.604930690000000126e+01 2.604624280000000169e+01 2.604319470000000081e+01 2.604016269999999977e+01 2.603714659999999981e+01 2.603414640000000091e+01 2.603116209999999953e+01 2.602819360000000160e+01 2.602524090000000001e+01 2.602230379999999954e+01 2.601938240000000135e+01 2.601647660000000073e+01 2.601358630000000005e+01 2.601071149999999932e+01 2.600785210000000092e+01 2.600500800000000012e+01 2.600217920000000049e+01 2.599936560000000085e+01 2.599656720000000121e+01 2.599378390000000039e+01 2.599101569999999839e+01 2.598826239999999999e+01 2.598552400000000162e+01 2.598280039999999858e+01 2.598009160000000151e+01 2.597739749999999859e+01 2.597471810000000048e+01 2.597205320000000128e+01 2.596940280000000101e+01
2.437838580000000022e+01 2.437633990000000139e+01 2.437430499999999967e+01 2.437228119999999976e+01 2.437026840000000050e+01 2.436826650000000072e+01 2.436627539999999925e+01 2.436429509999999965e+01 2.436232550000000074e+01 2.436036659999999898e+01 2.435841840000000147e+01 2.435648069999999876e+01 2.435455350000000152e+01 2.435263670000000147e+01 2.435073029999999861e+01 2.434883430000000004e+01 2.434694849999999988e+01 2.434507299999999930e+01 2.434320770000000067e+01 2.434135249999999928e+01 2.433950739999999868e+01 2.433767230000000126e+01 2.433584719999999990e+01 2.433403200000000055e+01 2.433222669999999965e+01 2.433043130000000076e+01 2.432864560000000154e+01 2.432686969999999960e+01 2.432510339999999971e+01 2.432334690000000066e+01 2.432159989999999894e+01 2.431986249999999927e+01 2.431813470000000166e+01 2.431641630000000021e+01 2.431470739999999964e+01 2.431300780000000117e+01 2.431131770000000003e+01 2.430963690000000099e+01 2.430796529999999933e+01 2.430630299999999977e+01 2.430464990000000114e+01 2.430300599999999989e+01 2.430137129999999956e+01 2.429974560000000139e+01 2.429812899999999942e+01 2.429652150000000077e+01 2.429492289999999954e+01 2.429333330000000046e+01 2.429175269999999998e+01 2.429018100000000047e+01
2.336800200000000061e+01 2.336496089999999981e+01 2.336193499999999901e+01 2.335892430000000175e+01 2.335592869999999976e+01 2.335294820000000016e+01 2.334998270000000176e+01 2.334703229999999863e+01 2.334409690000000026e+01 2.334117649999999955e+01 2.333827099999999888e+01 2.333538039999999825e+01 2.333250470000000121e+01 2.332964379999999949e+01 2.332679770000000019e+01 2.332396629999999860e+01 2.332114969999999943e+01 2.331834770000000034e+01 2.331556030000000135e+01 2.331278749999999889e+01 2.331002919999999889e+01 2.330728549999999899e+01 2.330455609999999922e+01 2.330184119999999837e+01 2.329914060000000120e+01 2.329645430000000061e+01 2.329378230000000016e+01 2.329112449999999868e+01 2.328848079999999854e+01 2.328585119999999975e+01 2.328323560000000114e+01 2.328063399999999916e+01 2.327804640000000092e+01 2.327547260000000051e+01 2.327291260000000150e+01 2.327036640000000034e+01 2.326783389999999940e+01 2.326531509999999869e+01 2.326280979999999943e+01 2.326031800000000160e+01 2.325783970000000167e+01 2.325537479999999846e+01 2.325292329999999907e+01 2.325048500000000118e+01 2.324805990000000122e+01 2.324564799999999920e+01 2.324324909999999988e+01 2.324086330000000089e+01 2.323849039999999988e+01 2.323613040000000041e+01
2.167075290000000010e+01 2.166894010000000037e+01 2.166713700000000031e+01 2.166534349999999876e+01 2.166355959999999925e+01 2.166178529999999824e+01 2.166002040000000051e+01 2.165826510000000127e+01 2.165651910000000058e+01 2.165478249999999960e+01 2.165305509999999956e+01 2.165133700000000161e+01 2.164962810000000104e+01 2.164792840000000140e+01 2.164623770000000036e+01 2.164455609999999908e+01 2.164288349999999994e+01 2.164121989999999940e+01 2.163956519999999983e+01 2.163791930000000008e+01 2.163628230000000130e+01 2.163465409999999878e+01 2.163303459999999845e+01 2.163142390000000148e+01 2.162982179999999843e+01 2.162822829999999996e+01 2.162664339999999896e+01 2.162506700000000137e+01 2.162349920000000125e+01 2.162193979999999982e+01 2.162038889999999824e+01 2.161884630000000129e+01 2.161731209999999948e+01 2.161578629999999990e+01 2.161426870000000022e+01 2.161275940000000162e+01 2.161125829999999937e+01 2.160976540000000057e+01 2.160828070000000167e+01 2.160680410000000151e+01 2.160533560000000008e+01 2.160387520000000094e+01 2.160242279999999937e+01 2.160097850000000008e+01 2.159954210000000074e+01 2.159811369999999897e+01 2.159669320000000070e+01 2.159528059999999883e+01 2.159387590000000046e+01 2.159247900000000087e+01
2.061824079999999881e+01 2.061556669999999869e+01 2.061290599999999884e+01 2.061025880000000043e+01 2.060762490000000113e+01 2.060500449999999972e+01 2.060239740000000097e+01 2.059980360000000132e+01 2.059722299999999962e+01 2.059465580000000173e+01 2.059210179999999824e+01 2.058956089999999861e+01 2.058703320000000048e+01 2.058451859999999911e+01 2.058201710000000162e+01 2.057952870000000090e+01 2.057705320000000171e+01 2.057459070000000168e+01 2.057214109999999962e+01 2.056970439999999911e+01 2.056728060000000013e+01 2.056486950000000036e+01 2.056247120000000095e+01 2.056008560000000074e+01 2.055771259999999856e+01 2.055535229999999913e+01 2.055300450000000012e+01 2.055066929999999914e+01 2.054834650000000096e+01 2.054603609999999847e+01 2.054373809999999878e+01 2.054145240000000072e+01 2.053917900000000074e+01 2.053691770000000005e+01 2.053466870000000100e+01 2.053243170000000006e+01 2.053020679999999842e+01 2.052799380000000085e+01 2.052579280000000139e+01 2.052360369999999890e+01 2.052142639999999929e+01 2.051926089999999903e+01 2.051710699999999932e+01 2.051496480000000133e+01 2.051283420000000035e+01 2.051071509999999876e+01 2.050860750000000010e+01 2.050651129999999966e+01 2.050442650000000100e+01 2.050235290000000177e+01
1.896208700000000036e+01 1.896050470000000132e+01 1.895893069999999980e+01 1.895736510000000052e+01 1.895580770000000115e+01 1.895425859999999929e+01 1.895271770000000089e+01 1.895118490000000122e+01 1.894966020000000029e+01 1.894814350000000047e+01 1.894663489999999939e+01 1.894513429999999943e+01 1.894364149999999825e+01 1.894215670000000173e+01 1.894067970000000045e+01 1.893921050000000150e+01 1.893774910000000133e+01 1.893629549999999995e+01 1.893484949999999856e+01 1.893341119999999833e+01 1.893198050000000165e+01 1.893055730000000025e+01 1.892914180000000002e+01 1.892773370000000099e+01 1.892633310000000080e+01 1.892493999999999943e+01 1.892355429999999927e+01 1.892217589999999916e+01 1.892080500000000143e+01 1.891944129999999902e+01 1.891808490000000020e+01 1.891673580000000143e+01 1.891539390000000154e+01 1.891405920000000052e+01 1.891273169999999837e+01 1.891141139999999865e+01 1.891009809999999902e+01 1.890879199999999827e+01 1.890749290000000116e+01 1.890620090000000175e+01 1.890491589999999889e+01 1.890363779999999849e+01 1.890236679999999936e+01 1.890110269999999915e+01 1.889984550000000141e+01 1.889859530000000021e+01 1.889735190000000031e+01 1.889611539999999934e+01 1.889488569999999967e+01 1.889366289999999893e+01
1.786782360000000125e+01 1.786551359999999988e+01 1.786321519999999907e+01 1.786092860000000115e+01 1.785865360000000024e+01 1.785639030000000105e+01 1.785413850000000124e+01 1.785189839999999961e+01 1.784966969999999975e+01 1.784745260000000044e+01 1.784524700000000053e+01 1.784305289999999999e+01 1.784087010000000006e+01 1.783869869999999835e+01 1.783653869999999841e+01 1.783438999999999908e+01 1.783225260000000034e+01 1.783012649999999866e+01 1.782801149999999879e+01 1.782590769999999836e+01 1.782381499999999974e+01 1.782173350000000056e+01 1.781966290000000086e+01 1.781760339999999943e+01 1.781555480000000102e+01 1.781351709999999855e+01 1.781149029999999911e+01 1.780947439999999915e+01 1.780746919999999989e+01 1.780547479999999894e+01 1.780349100000000107e+01 1.780151790000000034e+01 1.779955539999999914e+01 1.779760339999999985e+01 1.779566189999999892e+01 1.779373089999999991e+01 1.779181020000000046e+01 1.778989990000000176e+01 1.778799989999999909e+01 1.778611009999999837e+01 1.778423060000000078e+01 1.778236109999999925e+01 1.778050169999999852e+01 1.777865239999999858e+01 1.777681309999999826e+01 1.777498359999999877e+01 1.777316409999999891e+01 1.777135429999999872e+01 1.776955429999999936e+01 1.776776399999999967e+01
1.625247770000000003e+01 1.625112400000000079e+01 1.624977730000000165e+01 1.624843759999999904e+01 1.624710500000000124e+01 1.624577929999999881e+01 1.624446049999999886e+01 1.624314860000000138e+01 1.624184359999999927e+01 1.624054539999999847e+01 1.623925390000000135e+01 1.623796919999999844e+01 1.623669119999999921e+01 1.623541990000000013e+01 1.623415520000000001e+01 1.623289709999999886e+01 1.623164549999999906e+01 1.623040049999999823e+01 1.622916199999999876e+01 1.622793000000000063e+01 1.622670450000000031e+01 1.622548529999999900e+01 1.622427259999999904e+01 1.622306620000000166e+01 1.622186609999999973e+01 1.622067240000000155e+01 1.621948490000000120e+01 1.621830369999999988e+01 1.621712869999999995e+01 1.621595990000000143e+01 1.621479730000000075e+01 1.621364080000000030e+01 1.621249050000000125e+01 1.621134629999999888e+01 1.621020820000000029e+01 1.620907610000000076e+01 1.620795010000000147e+01 1.620683010000000124e+01 1.620571620000000124e+01 1.620460819999999913e+01 1.620350609999999847e+01 1.620241010000000159e+01 1.620131990000000144e+01 1.620023570000000035e+01 1.619915729999999954e+01 1.619808490000000134e+01 1.619701829999999987e+01 1.619595749999999867e+01 1.619490259999999893e+01 1.619385349999999946e+01
1.511697249999999926e+01 1.511502370000000006e+01 1.511308499999999988e+01 1.511115610000000054e+01 1.510923709999999964e+01 1.510732800000000076e+01 1.510542869999999915e+01 1.510353929999999956e+01 1.510165959999999963e+01 1.509978970000000054e+01 1.509792949999999934e+01 1.509607910000000075e+01 1.509423819999999949e+01 1.509240710000000085e+01 1.509058549999999954e+01 1.508877359999999967e+01 1.508697109999999952e+01 1.508517819999999965e+01 1.508339480000000066e+01 1.508162079999999960e+01 1.507985620000000004e+01 1.507810100000000020e+01 1.507635510000000068e+01 1.507461849999999970e+01 1.507289120000000082e+01 1.507117309999999932e+01 1.506946409999999936e+01 1.506776430000000033e+01 1.506607359999999929e+01 1.506439199999999978e+01 1.506271940000000065e+01 1.506105570000000071e+01 1.505940099999999937e+01 1.505775509999999962e+01 1.505611810000000084e+01 1.505448990000000009e+01 1.505287049999999915e+01 1.505125969999999924e+01 1.504965759999999975e+01 1.504806420000000067e+01 1.504647929999999967e+01 1.504490290000000030e+01 1.504333500000000079e+01 1.504177549999999997e+01 1.504022450000000077e+01 1.503868169999999971e+01 1.503714730000000088e+01 1.503562110000000018e+01 1.503410299999999999e+01 1.503259320000000088e+01
1.354203799999999980e+01 1.354091159999999938e+01 1.353979089999999985e+01 1.353867600000000060e+01 1.353756689999999985e+01 1.353646349999999998e+01 1.353536569999999983e+01 1.353427369999999996e+01 1.353318729999999981e+01 1.353210649999999937e+01 1.353103119999999926e+01 1.352996150000000064e+01 1.352889730000000057e+01 1.352783860000000082e+01 1.352678539999999963e+01 1.352573759999999936e+01 1.352469520000000003e+01 1.352365819999999985e+01 1.352262660000000061e+01 1.352160029999999935e+01 1.352057929999999963e+01 1.351956350000000029e+01 1.351855310000000010e+01 1.351754790000000028e+01 1.351654790000000084e+01 1.351555309999999999e+01 1.351456349999999951e+01 1.351357900000000001e+01 1.351259970000000088e+01 1.351162549999999918e+01 1.351065640000000023e+01 1.350969240000000049e+01 1.350873340000000056e+01 1.350777949999999983e+01 1.350683070000000008e+01 1.350588680000000075e+01 1.350494789999999945e+01 1.350401399999999974e+01 1.350308509999999984e+01 1.350216110000000036e+01 1.350124210000000069e+01 1.350032799999999966e+01 1.349941880000000083e+01 1.349851450000000064e+01 1.349761499999999970e+01 1.349672050000000034e+01 1.349583080000000024e+01 1.349494589999999938e+01 1.349406590000000072e+01 1.349319069999999954e+01
1.236571600000000082e+01 1.236412600000000062e+01 1.236254420000000032e+01 1.236097059999999992e+01 1.235940500000000064e+01 1.235784750000000010e+01 1.235629810000000006e+01 1.235475669999999937e+01 1.235322329999999980e+01 1.235169789999999956e+01 1.235018050000000045e+01 1.234867099999999951e+01 1.234716940000000029e+01 1.234567580000000042e+01 1.234418999999999933e+01 1.234271200000000057e+01 1.234124180000000059e+01 1.233977939999999940e+01 1.233832469999999937e+01 1.233687779999999989e+01 1.233543859999999981e+01 1.233400699999999972e+01 1.233258299999999963e+01 1.233116659999999953e+01 1.232975779999999943e+01 1.232835649999999994e+01 1.232696269999999927e+01 1.232557629999999982e+01 1.232419739999999919e+01 1.232282580000000038e+01 1.232146159999999924e+01 1.232010469999999991e+01 1.231875510000000062e+01 1.231741270000000021e+01 1.231607750000000046e+01 1.231474949999999957e+01 1.231342859999999995e+01 1.231211479999999980e+01 1.231080809999999914e+01 1.230950829999999918e+01 1.230821560000000048e+01 1.230692969999999953e+01 1.230565080000000044e+01 1.230437869999999911e+01 1.230311340000000087e+01 1.230185490000000037e+01 1.230060310000000001e+01 1.229935809999999918e+01 1.229811959999999971e+01 1.229688780000000037e+01
1.083090999999999937e+01 1.083000990000000030e+01 1.082911439999999992e+01 1.082822350000000000e+01 1.082733709999999938e+01 1.082645529999999923e+01 1.082557790000000075e+01 1.082470509999999919e+01 1.082383669999999931e+01 1.082297269999999934e+01 1.082211309999999926e+01 1.082125800000000027e+01 1.082040710000000061e+01 1.081956070000000025e+01 1.081871849999999924e+01 1.081788069999999991e+01 1.081704709999999992e+01 1.081621780000000044e+01 1.081539279999999970e+01 1.081457190000000068e+01 1.081375530000000040e+01 1.081294289999999947e+01 1.081213460000000026e+01 1.081133050000000040e+01 1.081053050000000049e+01 1.080973460000000053e+01 1.080894289999999991e+01 1.080815519999999985e+01 1.080737159999999975e+01 1.080659209999999959e+01 1.080581659999999999e+01 1.080504520000000035e+01 1.080427770000000010e+01 1.080351429999999979e+01 1.080275490000000005e+01 1.080199939999999970e+01 1.080124789999999990e+01 1.080050040000000067e+01 1.079975680000000082e+01 1.079901719999999976e+01 1.079828149999999987e+01 1.079754969999999936e+01 1.079682180000000002e+01 1.079609780000000008e+01 1.079537769999999952e+01 1.079466150000000013e+01 1.079394910000000074e+01 1.079324060000000074e+01 1.079253600000000013e+01 1.079183510000000012e+01
