1.000000000000000000e+00 2.000000000000000000e+00 -2.242328850000000173e+01 -2.209295439999999999e+01 -3.064517430000000076e+01 3.332172500000000070e+01 -3.061365530000000135e+01 3.174169990000000041e+01 -3.058318159999999963e+01 3.016883029999999977e+01 -3.055384300000000053e+01 2.860329330000000070e+01 -3.052552419999999955e+01 2.704459579999999974e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.000000000000000000e+00 -2.240143369999999834e+01 -2.174363740000000078e+01 -3.016017739999999847e+01 3.331127949999999771e+01 -3.012922809999999885e+01 3.173173089999999874e+01 -3.009931519999999949e+01 3.015934319999999857e+01 -3.007050440000000080e+01 2.859424350000000103e+01 -3.004268580000000100e+01 2.703594779999999886e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 -2.237957899999999967e+01 -2.139432040000000157e+01 -2.967522900000000163e+01 3.330064370000000196e+01 -2.964484459999999899e+01 3.172156139999999880e+01 -2.961548690000000050e+01 3.014964429999999851e+01 -2.958719950000000054e+01 2.858497240000000161e+01 -2.955987749999999892e+01 2.702707039999999949e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e+00 -2.235772419999999983e+01 -2.104500339999999881e+01 -2.919032590000000127e+01 3.328981490000000321e+01 -2.916050189999999986e+01 3.171118919999999974e+01 -2.913169410000000070e+01 3.013973179999999985e+01 -2.910392590000000013e+01 2.857547849999999912e+01 -2.907709729999999837e+01 2.701796239999999827e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.000000000000000000e+00 -2.233586950000000115e+01 -2.069568639999999959e+01 -2.870546500000000023e+01 3.327879089999999707e+01 -2.867619720000000072e+01 3.170061210000000074e+01 -2.864793429999999930e+01 3.012960400000000050e+01 -2.862068139999999872e+01 2.856576030000000088e+01 -2.859434309999999968e+01 2.700862250000000131e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.000000000000000000e+00 -2.231401470000000131e+01 -2.034636940000000038e+01 -2.822066080000000099e+01 3.326760550000000194e+01 -2.819192770000000081e+01 3.168982820000000089e+01 -2.816420510000000021e+01 3.011925910000000073e+01 -2.813746379999999903e+01 2.855581649999999883e+01 -2.811161269999999845e+01 2.699904959999999932e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.000000000000000000e+00 -2.229215999999999909e+01 -1.999705240000000117e+01 -2.773588859999999912e+01 3.325621100000000041e+01 -2.770769089999999935e+01 3.167883550000000170e+01 -2.768050399999999911e+01 3.010869560000000078e+01 -2.765427070000000143e+01 2.854564570000000145e+01 -2.762890409999999974e+01 2.698924249999999958e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.000000000000000000e+00 -2.227030519999999925e+01 -1.964773539999999841e+01 -2.725113340000000051e+01 3.324458080000000137e+01 -2.722348410000000030e+01 3.166763230000000107e+01 -2.719682859999999991e+01 3.009791200000000089e+01 -2.717109999999999914e+01 2.853524660000000068e+01 -2.714621530000000149e+01 2.697920009999999991e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+01 -2.224845050000000057e+01 -1.929841839999999920e+01 -2.676642060000000001e+01 3.323277039999999971e+01 -2.673930460000000053e+01 3.165621660000000048e+01 -2.671317670000000177e+01 3.008690680000000128e+01 -2.668794959999999961e+01 2.852461810000000142e+01 -2.666354420000000047e+01 2.696892160000000160e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.100000000000000000e+01 -2.222659570000000073e+01 -1.894910139999999998e+01 -2.628173310000000029e+01 3.322074810000000156e+01 -2.625515010000000160e+01 3.164458700000000135e+01 -2.622954590000000152e+01 3.007567859999999982e+01 -2.620481729999999843e+01 2.851375889999999913e+01 -2.618088880000000174e+01 2.695840580000000131e+01 0.000000000000000000e+00 0.000000000000000000e+00
