1.000000000000000000e+00 2.000000000000000000e+00 -2.242328850000000173e+01 -2.209295439999999999e+01 -3.076073780000000113e+01 3.883937910000000215e+01 -3.072822409999999849e+01 3.732697019999999810e+01 -3.069650950000000122e+01 3.582209670000000301e+01 -3.066557329999999837e+01 3.432439360000000050e+01 -3.063545620000000014e+01 3.283339800000000253e+01
1.000000000000000000e+00 3.000000000000000000e+00 -2.240143369999999834e+01 -2.174363740000000078e+01 -3.027373779999999925e+01 3.882731840000000290e+01 -3.024177759999999893e+01 3.731537039999999905e+01 -3.021060489999999987e+01 3.581096000000000146e+01 -3.018019939999999934e+01 3.431366150000000204e+01 -3.015061890000000133e+01 3.282306419999999747e+01
1.000000000000000000e+00 4.000000000000000000e+00 -2.237957899999999967e+01 -2.139432040000000157e+01 -2.978679220000000072e+01 3.881508910000000157e+01 -2.975538450000000168e+01 3.730359700000000345e+01 -2.972475310000000093e+01 3.579962400000000144e+01 -2.969489039999999846e+01 3.430273360000000338e+01 -2.966582989999999853e+01 3.281253889999999984e+01
1.000000000000000000e+00 5.000000000000000000e+00 -2.235772419999999983e+01 -2.104500339999999881e+01 -2.929989780000000010e+01 3.880268910000000204e+01 -2.926904180000000011e+01 3.729164769999999862e+01 -2.923894980000000032e+01 3.578810570000000268e+01 -2.920962919999999841e+01 3.429161839999999728e+01 -2.918108619999999931e+01 3.280181950000000057e+01
1.000000000000000000e+00 6.000000000000000000e+00 -2.233586950000000115e+01 -2.069568639999999959e+01 -2.881305190000000138e+01 3.879011650000000344e+01 -2.878274649999999824e+01 3.727951999999999799e+01 -2.875318019999999919e+01 3.577641380000000026e+01 -2.872441249999999968e+01 3.428031339999999716e+01 -2.869638459999999824e+01 3.279090370000000121e+01
1.000000000000000000e+00 7.000000000000000000e+00 -2.231401470000000131e+01 -2.034636940000000038e+01 -2.832625159999999909e+01 3.877736920000000254e+01 -2.829649369999999919e+01 3.726722869999999688e+01 -2.826746199999999831e+01 3.576452220000000182e+01 -2.823923729999999921e+01 3.426881629999999745e+01 -2.821172230000000170e+01 3.277978920000000329e+01
1.000000000000000000e+00 8.000000000000000000e+00 -2.229215999999999909e+01 -1.999705240000000117e+01 -2.783949409999999958e+01 3.876444529999999844e+01 -2.781028230000000079e+01 3.725473569999999768e+01 -2.778179850000000073e+01 3.575243280000000112e+01 -2.775410060000000101e+01 3.425712450000000331e+01 -2.772709629999999947e+01 3.276847370000000126e+01
1.000000000000000000e+00 9.000000000000000000e+00 -2.227030519999999925e+01 -1.964773539999999841e+01 -2.735277659999999855e+01 3.875134260000000097e+01 -2.732410949999999872e+01 3.724205779999999777e+01 -2.729617289999999841e+01 3.574015330000000290e+01 -2.726899949999999961e+01 3.424523589999999729e+01 -2.724250380000000149e+01 3.275695520000000016e+01
1.000000000000000000e+00 1.000000000000000000e+01 -2.224845050000000057e+01 -1.929841839999999920e+01 -2.686609650000000116e+01 3.873805920000000214e+01 -2.683796309999999963e+01 3.722920369999999934e+01 -2.681058219999999892e+01 3.572768159999999682e+01 -2.678393099999999905e+01 3.423314839999999748e+01 -2.675794210000000106e+01 3.274523159999999677e+01
1.000000000000000000e+00 1.100000000000000000e+01 -2.222659570000000073e+01 -1.894910139999999998e+01 -2.637945159999999944e+01 3.872461080000000067e+01 -2.635184299999999880e+01 3.721615700000000260e+01 -2.632502360000000152e+01 3.571501560000000097e+01 -2.629889250000000089e+01 3.422086000000000183e+01 -2.627340849999999861e+01 3.273330119999999965e+01
